Symbols,Exchange Rate
AED,4.009531
AFN,75.018956
ALL,103.920848
AMD,437.47728
ANG,1.957851
AOA,903.571033
ARS,384.51788
AUD,1.675984
AWG,1.964959
AZN,1.841023
BAM,1.955252
BBD,2.193385
BDT,120.306252
BGN,1.955252
BHD,0.409685
BIF,3087.53389
BMD,1.091644
BND,1.46029
BOB,7.506894
BRL,5.285817
BSD,1.086295
BTC,2.9650206e-05
BTN,90.447828
BWP,14.571912
BYN,3.578496
BYR,21396.217968
BZD,2.189686
CAD,1.49738
CDF,2866.65664
CHF,0.96588
CLF,0.034535
CLP,952.922688
CNY,7.871516
COP,4439.654595
CRC,577.338046
CUC,1.091644
CUP,28.92856
CVE,110.234077
CZK,24.47422
DJF,193.415743
DKK,7.459987
DOP,61.692694
DZD,146.664483
EGP,33.639146
ERN,16.374657
ETB,60.756657
EUR,1
FJD,2.498659
FKP,0.876349
GBP,0.87633
GEL,2.941986
GGP,0.876349
GHS,12.989356
GIP,0.876349
GMD,73.413059
GNF,9334.381535
GTQ,8.505614
GYD,227.276245
HKD,8.511372
HNL,26.831473
HRK,7.686886
HTG,144.149563
HUF,378.964727
IDR,16837.841062
ILS,4.056363
IMP,0.876349
INR,90.924921
IQD,1423.100794
IRR,46135.530737
ISK,152.895136
JEP,0.876349
JMD,169.282513
JOD,0.774304
JPY,163.44095
KES,165.44359
KGS,97.293627
KHR,4475.744472
KMF,495.196922
KPW,982.400459
KRW,1415.185414
KWD,0.336543
KYD,0.905246
KZT,504.048605
LAK,22526.680853
LBP,16327.419859
LKR,356.34004
LRD,205.065374
LSL,20.053183
LTL,3.22334
LVL,0.660324
LYD,5.263523
MAD,11.017809
MDL,19.374565
MGA,4920.619676
MKD,61.597721
MMK,2281.260065
MNT,3758.319691
MOP,8.726352
MRO,389.71664
MUR,48.207211
MVR,16.865826
MWK,1828.68702
MXN,18.810387
MYR,5.100705
MZN,69.046414
NAD,20.053697
NGN,917.024403
NIO,39.758847
NOK,11.815744
NPR,144.716404
NZD,1.824813
OMR,0.420217
PAB,1.086295
PEN,4.201421
PGK,4.103849
PHP,60.474337
PKR,311.230794
PLN,4.389085
PYG,8072.73545
QAR,3.974663
RON,4.984795
RSD,117.166133
RUB,97.538234
RWF,1339.824155
SAR,4.094221
SBD,9.191272
SCR,14.320783
SDG,656.077599
SEK,11.485621
SGD,1.46673
SHP,1.328258
SLE,24.567324
SLL,21559.964819
SOS,623.328626
SRD,41.640741
STD,22594.8221
SYP,14193.394206
SZL,19.885422
THB,38.300873
TJS,11.884366
TMT,3.820753
TND,3.399919
TOP,2.600284
TRY,31.248308
TTD,7.376931
TWD,34.65936
TZS,2713.638775
UAH,39.236293
UGX,4105.848234
USD,1.091644
UYU,43.147896
UZS,13340.257813
VEF,3860573.126508
VES,38.607689
VND,26488.736174
VUV,131.380104
WST,3.01728
XAF,655.773044
XAG,0.04601
XAU,0.000551
XCD,2.950222
XDR,0.82017
XOF,655.773044
XPF,120.572307
YER,273.344682
ZAR,20.039853
ZMK,9826.104085
ZMW,25.229923
ZWL,351.50885
